,job_title,view_count,employer_name,location,post_date,job_category,job_type,number_of_vacancies,start_date,end_date,rate,benefits,description
15,KIWIFRUIT JOB ALERT,180,Thomas Bros Ltd,"394 Main Road, Riwaka, Riwaka, New Zealand",2022-10-18,Kiwifruit,Need Staff Now,10,2022-10-25,2022-12-17,$21.20/hr plus Holiday pay + bonuses,,"KIWIFRUIT JOB ALERT – Thomas Bros Ltd WORKING HOLIDAY VISA OR ELIGIBILITY TO WORK IN NZ REQUIRED. CONTACT: Lara Bradford  Email: Lara@thomasbros.co.nz Cell: 021740143 LOCATION: Riwaka, Nelson JOB TYPE: Summer Canopy work, Bud and Fruit Thinning, Flower Picking DAILY TASKS: Bud and Fruit thinning, tip squeezing OF POSITIONS: 10 START DATE: Immediately DURATION: 2 months […]"
16,Immediate Start – Potato and Onion Graders & Packers,125,Madahar Agriforce Limited,"Pukekawa, New Zealand",2022-10-18,Other,Need Staff Now,6,2022-10-25,2023-10-31,$21.20,"Transport, Flexi rosters","Immediate Start – Potato and Onion Graders & Packers We are looking to hire workers with an immediate start, to grade and pack Potatoes and Onions. The Role includes: Grading and Packing Potatoes and Onions Indoor work. Attention to detail Full Training is given.  The Opportunity: On-going contract positions available Work available 5 days per […]"
17,Fruit Thinners,112,Sunfruit Limited,"Hastings, New Zealand",2022-10-18,Apples and Pears,Need Staff Soon,10,2022-11-01,2022-12-23,21.84 (Inclusive of Employer KiwiSaver),"Transport, Flexi rosters",We are looking for Fruit Thinners to join our passionate and friendly team starting as soon as start of November. The Fruit Thinners role includes: Following instructions from the manager and/or supervisor Removing small fruit to increase fruit size Removing any deformed or unsaleable fruit. We have the following shifts available: 30 am – 4 […]
18,Immediate Start - Mushroom Pickers Needed.,180,Madahar Agriforce Limited,"Pukekawa, New Zealand",2022-10-18,Other,Need Staff Now,10,2022-10-19,2023-10-31,$22.00 and above depending on experience,"Transport, Flexi rosters","Immediate Start – Mushroom Pickers Needed. We are looking to hire workers with an immediate start, to work in the purpose-built Mushroom factory. The facility has a clean and pleasant working environment. The Role includes: Picking mushrooms Indoor work. Attention to detail Full Training is given.  The Opportunity: On-going contract positions available Work available 5 […]"
19,Orchard Thinner,88,RJ Flowers Ltd,"Hastings, New Zealand",2022-10-17,Apples and Pears,Need Staff Soon,15,2022-10-31,2022-12-23,$21.50,,"Would you like to join our family-run orchard based in Hastings? Are you reliable, motivated and positive? Our orchard has seasonal thinning work available from early November until mid-December Potential for further training and skill development. Hours of work: Monday to Friday 8am – 4.30pm, optional Saturday work Able to work Monday through to Friday […]"
20,Vegetable Harvesters Wanted ($25 per hr),231,Scottfresh,"Spotswood, New Zealand",2022-10-17,Vegetables,Need Staff Now,5,2022-10-21,2023-01-21,$25 per hr (incl holiday pay).,"Accommodation, Transport, Free Wifi","Enjoy living and working amongst the foothills of North Canterbury this Spring/Summer.  Located 90 minutes north of Christchurch and 60 minutes south of Kaikoura (accessible via a short bus trip). Averaging 45 – 55 hours a week, 5-6 days per week with guaranteed minimum hours and opportunities for promotion! Working outdoors (with ocean and mountain views) as part of […]"
21,Horticultural Assistant – 6 months fixed term,89,Elanza Fresh Ltd,"24 Lund Road, Katikati, New Zealand",2022-10-17,Berries,Need Staff Now,8,2022-10-25,2023-04-25,$21.20 per hour,,Horticultural Assistant – 6 months fixed term Full time hours Monday to Friday Elanza Fresh Ltd develops leading edge nursery and growing systems that allow the supply of plants and fantastic tasting premium fruit year-round. Our Katikati (Bay of Plenty) based team delivers plants of high productivity and performance over a range of fruit and […]
22,Apple Thinner,71,Kelston Orchards Ltd,"Hastings, New Zealand",2022-10-17,Apples and Pears,Need Staff Soon,15,2022-11-21,2022-12-24,"$21.20 min, however contract rates per tree basis",,The role of the job is to follow the instructions of the orchard manager or team supervisor to thin apples to the specific requirements.  Ladder work and a good level of fitness is required to climb up and down the ladder. This job requires at least 40 hours of work a week and over 6 […]
23,Casual orchard Hand,93,Matipou Orchards Ltd,"50 Ormond Road, RD 5, RD 5, Hastings, New Zealand",2022-10-17,Apples and Pears,Need Staff Now,2,2022-10-18,2023-01-01,22 - 25,,"Matipou Orchard are looking for a Part-time/casual orchard/Packhouse worker. This position could lead to a permanent position in our company for the right person. We are looking for someone to help with everyday orchard work and Packhouse work. Orchard duties include: Spraying, Thinning, Picking, Pruning, Irrigation, Mowing, Mulching, Sweeping. Packhouse jobs include end of season […]"
24,Orchard Thinning,119,Waitaki Orchards Ltd,"5221 Kurow-Duntroon Road, RD 6K, Oamaru, New Zealand",2022-10-17,Stonefruit (including Cherries),Need Staff Now,10,2022-10-25,2022-11-12,$21.20 plus 8% holiday pay,,"We are looking for enthusiastic people to join our thinning crew on our family orchard for two to three weeks during October/November. Work is available from 25/10/2022. Applicants must be physically fit, comfortable working from a ladder, and legally able to work in New Zealand. Accommodation available onsite with unlimited wifi in either a shared […]"
25,Cherry Packhouse workers,354,New Zealand Cherry Corp,"Cromwell, New Zealand",2022-10-17,Stonefruit (including Cherries),Need Staff Soon,100,2022-12-15,2023-01-25,$23.65,"Accommodation, Transport, Free Wifi","Cherry Packhouse workers wanted for upcoming harvest Competitive rates! Great place to work! Fun environment! New Zealand Cherry Corp in Cromwell are looking for Cherry Pickers, lifters, Quad bike drivers and Packhouse workers for the Cherry season. If you are age 14 or over and willing to work from mid-December to end of January, we […]"
26,Cherry Picker,455,New Zealand Cherry Corp,"Cromwell, New Zealand",2022-10-17,Stonefruit (including Cherries),Need Staff Soon,200,2022-12-15,2022-12-24,$23.65,"Accommodation, Transport, Bucket/bin rate bonuses, Free Wifi","Cherry Pickers wanted for upcoming harvest Competitive picking rates! Great place to work! Fun environment! New Zealand Cherry Corp in Cromwell are looking for Cherry Pickers, lifters, Quad bike drivers and Packhouse workers for the Cherry season. If you are age 14 or over and willing to work from mid-December to end of January, we […]"
27,Apple Thinning,169,Rod Fry Ltd,"66 swamp Road RD3 Riwaka, Motueka, New Zealand",2022-10-17,Apples and Pears,Need Staff Soon,12,2022-11-17,2022-12-22,22.10 + HP + Bonus,"Accommodation, Bucket/bin rate bonuses, Social club / staff events","Rod Fry Ltd is based in the beautiful Nelson Tasman region, we are 7 minutes’ drive from Motueka township and 10 a minute drive from the world-famous golden sands of Kaiteriteri Rod Fry Ltd is seeking positive and energetic people to join our friendly family run orchard in Motueka for kiwifruit bud thinning, with the possibility […]"
28,Apple Thinning 2022,117,Vailima Orchard,"Hope, New Zealand",2022-10-16,Apples and Pears,Need Staff Soon,20,2022-11-14,2022-12-23,21.20,,"Come and join our team for the up and coming apple thinning season in sunny Nelson. Vailima Orchard is a successful, 4th generation family-owned business. With over 200Ha’s of Apple Orchards stretching over the Waimea Plains in Hope. We are currently seeking hard-working positive people to work on our Orchard. This is a fixed term […]"
29,Orchard Hand,75,Apata Group Limited,"Gisborne, New Zealand",2022-10-16,Kiwifruit,Need Staff Now,33,2022-10-25,2022-11-20,$22.75,,"We have orchard hand positions available with no experience needed. Bring a group of friends with you and work together while you stay in Tairawhiti, Gisborne. These positions are available from Tuesday 25th October 2022. Full-time and school hours are available. You must have a valid work visa to apply. Apply online now at our […]"
30,Avocado Pickers WANTED,292,A1 Avocados Ltd,"Te Puke, New Zealand",2022-10-15,Other,Need Staff Now,4,2022-10-17,2024-10-17,23.00,,"We are looking for Avocado pickers to join our small team working in and around Te Puke and Tauranga region. Immediate start. Remuneration dependent on experience and reliability. Reliability essential, previous experience desirable. Plenty of work available."
31,Gold kiwifruit Summer work,212,Pipiroa Fruits Ltd,"Appleby Highway, Appleby, New Zealand",2022-10-14,Kiwifruit,Need Staff Now,10,2022-10-17,2022-11-11,22.75,,"We are seeking hard working folk to help thin our gold kiwifruit crop. We remove excess flower buds to achieve an optimal crop. The orchard is a small, family owned orchard in Appleby about 10 mins from Richmond. We can teach you how to do the job, but if you have worked in horticulture before […]"
32,Fruit Thinners,249,Johnsons Cottage,"Roxburgh, New Zealand",2022-10-13,Stonefruit (including Cherries),Need Staff Now,5,2022-10-17,2022-11-12,$21.20,"Accommodation, Free Wifi",The flowers are pollinated and now the fruit needs room to grow – so we need your help! Johnsons Cottage is a family owned orchard that has been growing fruit for over 100 years – we grow great fruit and take care of our staff : ) Roxburgh is a cool little town only a […]
33,Asparagus Harvest Staff,132,Managweka Asparagus,"Kawhatau Valley Rd, Mangaweka, New Zealand",2022-10-12,Vegetables,Need Staff Now,5,2022-10-17,2022-12-20,22,"Bucket/bin rate bonuses, Free Wifi","Located up the picturesque Kawhatau Valley, Mangaweka Asparagus is looking for asparagus harvest workers right now. Be part of a friendly hard working team while earning good money. Work is early October through to Christmas and involves the daily harvesting of asparagus. No experience required however a good level of physical fitness is important. We […]"
34,Summer vineyard work,337,Foley Wines Ltd,"Blenheim, New Zealand",2022-10-12,Winegrowing,Need Staff Now,2,2022-10-17,2023-02-15,23.5,,"We are a company-owned vineyard looking for two casual staff members to help with general vineyard duties over the summer. The work will include young vine training, irrigation repairs and wire lifting."
35,Kiwifruit Flower Picker,277,AgFirst Consultants Nelson,"Motueka, New Zealand",2022-10-12,Other,Need Staff Soon,40,2022-11-07,2022-12-04,22.00 + contract rates,,Are you a student who wants to make extra cash before Christmas? Or a backpacker who is between jobs? Then look no further – kiwifruit flower picking is a good opportunity to make good money in a short period of time. Location: Motueka   Employer: Pollen Plus South Island Limited   No. of positions: Up […]
36,Flower Mill Worker – General Labourer - WE PAY LIVING WAGE,160,AgFirst Consultants Nelson,"Motueka, New Zealand",2022-10-12,Other,Need Staff Soon,2,2022-11-11,2022-11-30,23.65,,"Are you a parent, student or retiree who wants to make extra cash before Christmas? Then look no further – kiwifruit flower milling is a good opportunity to make extra cash in a short period of time. Job: Flower Mill Worker – General Labourer   Location: Motueka   Employer: Pollen Plus South Island Limited   […]"
37,Flower Mill Worker – Machinery operator - WE PAY LIVING WAGE,68,AgFirst Consultants Nelson,"Motueka, New Zealand",2022-10-12,Other,Need Staff Soon,2,2022-11-08,2022-11-30,23.65,Flexi rosters,Are you a parent or student who wants to make extra cash before Christmas? Then look no further – kiwifruit flower milling is a good opportunity to make extra cash in a short period of time. Job: Flower Mill Worker – Machinery operator Location: Motueka Employer: Pollen Plus South Island Limited No. of positions: 2 […]
38,Jobs Available Now - Mushroom Pickers Needed,259,Madahar Agriforce Limited,"Pukekawa, New Zealand",2022-10-12,Other,Need Staff Now,10,2022-10-16,2023-10-31,22,"Transport, Flexi rosters","Description Immediate Start – Mushroom Pickers Needed. We are looking to hire workers with an immediate start, to work in the purpose-built Mushroom factory. The facility has a clean and pleasant working environment. The Role includes: Picking mushrooms Indoor work. Attention to detail Full Training is given.  The Opportunity: On-going contract positions available Position start […]"
39,Summer Vineyard Job,176,E&E Trading Ltd,"Blenheim, New Zealand",2022-10-11,Winegrowing,Need Staff Soon,20,2022-10-31,2022-12-23,$22.1,,"We are a vineyard contracting company based in Blenheim, currently looking for Vineyard Workers for Summer season roughly from 31st October through until 24th December 2022. We have varies of jobs such as bud rubbing, shoot thinning, wire lifting…etc. If you are interested, please get in touch."
40,Customer Service All-Rounders Wanted!,180,Best Berries (NZ) Ltd,"Riverhead, New Zealand",2022-10-11,Berries,Need Staff Now,10,2022-10-14,2023-01-15,$22.89 (Including 8% Holiday Pay),,"We are seeking customer service all-rounders to join us on our PYO strawberry farm in Riverhead! We offer flexible hours, a fun team environment and opportunities for professional development. Full training will be provided. This is a short-term position until approximately Mid-January. Remuneration: The Rate is $21.20/hour (+ 8% holiday pay) Duties may include: Operating the till […]"
41,Strawberry Packhouse Superstars Wanted!,224,Best Berries (NZ) Ltd,"Riverhead, New Zealand",2022-10-11,Berries,Need Staff Now,10,2022-10-13,2022-12-24,$22.89/hour (inclusive of 8% Holiday Pay),,"APPLY NOW – START ASAP!! We’re looking for Packhouse superstars to work with us! We offer flexible hours, a fun team environment and opportunities for professional development. Full training will be provided. This is a short-term position until approximately end of December. Accommodation available on a first come first serve basis! Duties may include: Packing Strawberries Carrying […]"
42,Strawberry Pickers Wanted!,272,Best Berries (NZ) Ltd,"Riverhead, New Zealand",2022-10-11,Berries,Need Staff Now,100,2022-10-13,2022-12-24,$22.89/hour (inclusive of 8% Holiday Pay),,"APPLY NOW – START OCTOBER !! We are looking for superstars to join our friendly picking team in Riverhead, West Auckland. Accommodation available – first come first served basis! Location: Riverhead Remuneration: The Rate is $22.89/hour (inclusive of Holiday Pay) Work available from October 2022 Great opportunity for regular work if you are flexible on […]"
43,FIELD HARVEST HANDS - BROCCOLINI/WATERMELON,220,A S WILCOX & SONS LTD,"58 UNION ROAD, R D 3, PUKEKOHE, New Zealand",2022-10-10,Vegetables,Need Staff Now,6,2022-10-17,2023-04-30,$22.50,Bucket/bin rate bonuses,"Join our Broccolini harvest team.  Based in Pukekohe we are looking for permanent and casual staff.  Great summer holiday roles with an immediate start. Work up to 6 days per week, 6-8 hours per day.  Base hourly rate from $22.50 plus a picking bonus of up to $10 per hour. Excellent working conditions and full […]"
44,ONION PEELING/GRADING,123,A S WILCOX & SONS LTD,"58 UNION ROAD, R D 3, PUKEKOHE, New Zealand",2022-10-10,Vegetables,Need Staff Now,6,2022-10-17,2023-04-30,$23.50 per hour,,Join our great onion peeling team based in Pukekohe.  We prepare onions for fresh consumption to both food service and supermarkets. The roles are based in Pukekohe and we have both permanent and casual roles available. Good working conditions and pay rates.  Immediate start.
45,STONE FRUIT THINNING AND PICKING 2022,391,MHSL,"Napier, New Zealand",2022-10-09,Stonefruit (including Cherries),Expressions of Interest,10,2022-10-11,2022-12-23,23.60,,"We are looking for general/orchard workers to join our team. We have our stone fruit thinning season in September to November and also we will continue to our stone fruit picking from November to mid December. Must be physically fit, must be able to carry a picking bag with weight, must be able to use […]"
46,Broccoli & Lettuce Harvest,315,Scottfresh,"Spotswood, New Zealand",2022-10-09,Vegetables,Need Staff Soon,2,2022-10-25,2023-01-31,$25 per hr (incl holiday pay).,"Accommodation, Transport, Free Wifi","Enjoy living and working amongst the foothills of North Canterbury this Spring/Summer.  We are located 90 minutes north of Christchurch and 60 minutes south of Kaikoura (accessible via a short bus trip). Averaging 45 – 55 hours a week, 5-6 days per week with guaranteed minimum hours! Working outdoors (with ocean and mountain views) as part of a team […]"
47,Harvest team leader/supervisor,99,Cotterell Orchard,"Katikati, New Zealand",2022-10-08,Berries,Need Staff Now,1,2022-10-17,2022-12-20,$24per hour,,"We are a family owned and operated orchard and are looking for someone to help lead our Blueberry harvest team. You will need to be reliable, a great communicator, able to get along with a wide range of different people and be positive and encouraging staff to maximise harvest. Daily tasks will be varied but […]"
48,Machinery Operator,103,Grapeworx Marlborough Ltd,"15 Nolans Road, Grovetown, Grovetown, New Zealand",2022-10-08,Winegrowing,Expressions of Interest,10,2023-03-19,2023-04-30,Dependent on experience,Transport,Harvest 2023 We require 5 harvester drivers and 5 gondola drivers to assist with harvest 2023 in the Marlborough area. We have 1 Pellenc and 2 Gregoire harvesters We expect to start late March and finish late April. Please email your application and include a contact phone number      
49,Packing Shed,314,Woodhaven Gardens,"Levin, New Zealand",2022-10-06,Vegetables,Need Staff Now,10,2022-10-17,2023-08-28,21.20 plus bonus,"Accommodation, Transport, Bucket/bin rate bonuses",Come and join a high energy team – work along to music pumping and people smiling! Flexible hours – long term and part time available.
50,Planters,168,Woodhaven Gardens,"44 Joblins Road Levin 5571, Levin, New Zealand",2022-10-06,Vegetables,Need Staff Now,12,2022-10-17,2023-09-30,21.20 plus bonus (negotiable),"Accommodation, Transport, Free Wifi","Come and join a great team planting up to 15 plus different products – mechanical planters make this a great job if you like to sit and listen to music, podcasts etc while making long lasting friendships.  "
51,Harvesters,194,Woodhaven Gardens,"44 Joblins Road Levin, Levin, New Zealand",2022-10-06,Vegetables,Need Staff Now,20,2022-10-17,2024-01-31,21.20 plus bonus (negotable),"Accommodation, Transport, Free Wifi",Multiple positions across a diverse range of products – from beetroot to zucchini’s. Full buddy supported training given.
52,Vineyard Workers - Seasonal & Permanent,542,Amisfield,"1133 Luggate-Cromwell Road, Mt Pisa, Central Otago 9384, Cromwell, New Zealand",2022-10-05,Winegrowing,Need Staff Now,12,2022-10-10,2022-12-16,$23.65 per hour,,"Located 10 minutes from Cromwell and set against a backdrop of the majestic Pisa mountain range, Amisfield is the largest single estate vineyard in Central Otago.  Having achieved full organic certification in 2021, our philosophy is to nurture nature at every step and yield wines with exceptional purity, intensity and vibrancy. As testimony to our hard […]"
53,Cherry Pickers,759,Leaning Rock Cherries Ltd,"Rockview Road, Alexandra, New Zealand",2022-10-05,Stonefruit (including Cherries),Expressions of Interest,150,2022-12-01,2023-01-31,$22.90,"Accommodation, Bucket/bin rate bonuses, Free Wifi","Cherry Picking work available from December 2022 through to the end of January 2023. Grab some friends, have some fun in the sun all while you earn some good money in our beautiful part of NZ. Bonuses available 🙂 Camping ground available 5km from Alexandra"
54,Packhouse Staff,262,Leaning Rock Cherries Ltd,"Rockview Road, Alexandra, New Zealand",2022-10-05,Stonefruit (including Cherries),Expressions of Interest,40,2022-12-01,2023-01-31,$22.90,"Accommodation, Flexi rosters, Free Wifi","Staff required for busy Cherry Packhouse. Variety of jobs available including box making, sorting cherries, coolstore work, packing and palletizing produce. Season runs from December 2022 through to end of January 2023. If you enjoy meeting new people and working in a friendly environment then we are the place for you. Bring your mates along […]"
55,Cherry Picking - Secure your Summer Job Now!!!,652,Gourmet Summerfruit Limited,"44 Kinaston Road, Roxburgh, Roxburgh East, New Zealand",2022-10-05,Stonefruit (including Cherries),Expressions of Interest,80,2022-12-28,2023-02-03,$21.20,"Accommodation, Transport, Bucket/bin rate bonuses, Flexi rosters","We are a Large Orchard in Roxburgh Central Otago Looking for fit energetic workers wanting to earn good money this summer picking Cherries starting in late December. There’s nothing like a summer harvest in Roxburgh, work hard during the morning, then cool off down by the river after a hard days work. You will need […]"
56,Relief Cook,77,Matakana Berry Co Ltd,"256 Omaha Flats Road, Warkworth, New Zealand",2022-10-05,Berries,Need Staff Now,1,2022-10-10,2022-11-30,"At least $21.20 per hour, negotiable on skill levels and experience.",,We are looking for a Relief Cook for our Farm Kitchen.  One day per week 9.30am to 5.30pm (with one hour for lunch). We require someone local to our area that has the knowledge of cooking for a large group of workers (35).  A food safety certificate would be an advantage but is not essential.  […]
57,Strawberry Gate Sales,152,Matakana Berry Co Ltd,"Warkworth, New Zealand",2022-10-05,Berries,Need Staff Soon,1,2022-10-15,2022-12-04,At least $21.20 per hour (negotiable),eyIxMTgyNjg2MzA3IjoiRG8geW91IGxpdmUgbG9jYWxseSB0byBvdXIgZmFybT8iLCI4NzM2NTU3Mzc2IjoiRG8geW91IGhhdmUgYSBjdXJyZW50IHdvcmsgdmlzYT8iLCI0NTgzNzQyOTUyIjoiQXJlIHlvdSBhIE5ldyBaZWFsYW5kIENpdGl6ZW4gb3IgUmVzaWRlbnQ/In0=,"Matakana Berry Co is located in the Matakana/Omaha area.  We are looking for a “Super Star” to man our Strawberry Kiosk located at our gate! You will need to live local to our farm, be honest and trustworthy and have the ability to make every customer feel special!  This work is Saturdays and Sundays from […]"
58,Strawberry Packers,260,Matakana Berry Co Ltd,"Matakana, New Zealand",2022-10-05,Berries,Need Staff Soon,3,2022-10-10,2022-11-30,$21.20 + HP,eyIyODc5MzUwMjQ0IjoiRG8geW91IGxpdmUgaW4gb3VyIGxvY2FsIGFyZWE/IiwiNjQzNTE2NjIwNCI6IkRvIHlvdSBoYXZlIGEgdmFsaWQgd29yayB2aXNhPyIsIjE3MTA1MDA4NzkiOiJBcmUgeW91IGEgTmV3IFplYWxhbmQgY2l0aXplbiBvciByZXNpZGVudD8ifQ==,Matakana Berry Co is looking for local Strawberry Packers on a Fixed Term Contract until the 30th of November 2022.  We are located in Matakana and would like local people in our area. You will need to fit and healthy as this position involves standing on a moving conveyor line all day.  The week is […]
59,Strawberry Pickers,233,Matakana Berry Co Ltd,"256 Omaha Flats Road, Warkworth, New Zealand",2022-10-05,Berries,Need Staff Soon,5,2022-10-10,2022-11-30,$21.20 + HP guaranteed,eyIxODIxNDk0MjM4IjoiRG8geW91IGxpdmUgaW4gb3VyIGFyZWEgKE1hdGFrYW5hKT8iLCI3ODU3MjI0NzY3IjoiRG8geW91IGhhdmUgYSB2YWxpZCB3b3JrIHZpc2E/IiwiOTA0MTIzMDcwNCI6IkFyZSB5b3UgYSBOZXcgWmVhbGFuZCBDaXRpemVuIG9yIFJlc2lkZW50PyJ9,Matakana Berry Co is looking for local Strawberry Pickers on a Fixed Term Contract until the 30th of November 2022.     We are located in Matakana and would like local people in our area. Contract rates per kg picked apply for this position … the more you pick the more you earn!  You will need […]
60,Hop Plant Training,320,Nelson Hops NZ Limited,"65 Korere-Tophouse Road, Tapawera, New Zealand",2022-10-04,Other,Need Staff Soon,12,2022-10-17,2022-12-02,$24 inc h/p - $50 +,"Accommodation, Transport, Free Wifi",$24 – $50 + per hour inc h/p (contract piece rates) Accommodation available – Free Van Transport to & from work We are requiring motivated people to join our NZ/international team to train this season’s new & mature hop plants. The hop plant is a vine which grows up strings and produces a hop flower which is harvested to bless the beer we […]
